Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991
Ben Davis;;;;;;;;;;;;;;176369;;;;45847;425000;25000;220000;;;;;;
Ben Gordon;;;4500000;13200000;12400000;11600000;10800000;10000000;6404750;4881669;3862080;3610200;3358320;;;;;;;;;;;;;;
Ben Handlogten;;;;;;;;;;;;35091;;366931;;;;;;;;;;;;;
Ben Hansbrough;;;;;473604;;;;;;;;;;;;;;;;;;;;;;
Ben McLemore;4008882;3156600;3026280;2895960;;;;;;;;;;;;;;;;;;;;;;;
Ben Uzoh;;;;;;61433;473604;;;;;;;;;;;;;;;;;;;;
Ben Wallace;;;;;;2246400;2080000;1306445;14500000;15500000;16000000;7500000;7000000;5500000;5200000;4700000;4000000;893750;800000;326700;247500;;;;;;
Beno Udrih;1551659;2080465;2077000;374200;7372000;6925400;6478600;6031800;5585000;1747096;967920;904800;841680;;;;;;;;;;;;;;
Benoit Benjamin;;;;;;;;;;;;;;;;;;123529;;;;3975000;3774600;3575000;3175000;2875000;1750000
Bernard James;;;1259805;788872;473604;;;;;;;;;;;;;;;;;;;;;;
Bernard King;;;;;;;;;;;;;;;;;;;;;;;;;2500000;2525000;1600000
Bernard Robinson;;;;;;;;;;1080000;1000000;641748;385277;;;;;;;;;;;;;;
Bill Cartwright;;;;;;;;;;;;;;;;;;;;;;;1502000;2400000;2200000;2000000;1100000
Bill Curley;;;;;;;;;;;;;;;;;423500;117867;1544000;1333800;1123000;913000;702000;;;;
Bill Hanzlik;;;;;;;;;;;;;;;;;;;;;;;;;;508000;510000
Bill Laimbeer;;;;;;;;;;;;;;;;;;;;;;;;1300000;1319000;1369000;1510000
Bill Wennington;;;;;;;;;;;;;;;;;;510000;1000000;1800000;1000000;1000000;1000000;150000;;;700000
Billy Owens;;;;;;;;;;;;;;;;;2100000;2090000;1750000;4225200;3773000;3320000;2867000;2414000;1962000;1509000;
Billy Thomas;;;;;;;;;;264897;;;;;;;;;;;;;;;;;
Billy Thompson;;;;;;;;;;;;;;;;;;;;;;;;;;;400000
Bimbo Coles;;;;;;;;;;;;;;1050000;2400000;2200000;2250000;2300000;2000000;1700000;1400000;1002000;902000;802000;650000;212000;290000
Bismack Biyombo;17000000;2814000;4086454;3217680;3007920;2798040;;;;;;;;;;;;;;;;;;;;;
Bison Dele;;;;;;;;;;;;;;;;;;5770000;4860000;4050000;;2200000;2000000;1244000;1011000;777000;
Blair Rasmussen;;;;;;;;;;;;;;;;;;;;;;3088000;2747500;2457000;1988000;1558000;2185000
Blake Ahearn;;;;;;;;;125562;;;;;;;;;;;;;;;;;;
Blake Griffin;20140839;18907725;17674613;16441500;7226892;5731080;5357280;4983480;;;;;;;;;;;;;;;;;;;
Blue Edwards;;;;;;;;;;;;;;;;;;510000;850000;2300000;2100000;1900000;1700000;1500000;475000;390000;360000
Bo Kimble;;;;;;;;;;;;;;;;;;;;;;1700000;1435000;1150000;865000;1150000;950000
Bo Outlaw;;;;;;;;;;160071;1178348;1138500;6573148;6585000;6585000;6000000;4500000;2000000;1150000;1000000;600000;500000;250000;;;;
Bob Hansen;;;;;;;;;;;;;;;;;;;;;;;;;600000;600000;550000
Bob Martin;;;;;;;;;;;;;;;;;;;;;;;250000;;;;
Bob McCann;;;;;;;;;;;;;;;;;;;;;;300000;;;225000;130000;
Bob Sura;;;;;;;;;;3840000;3840000;3520000;3200000;6266666;5639999;5213333;4390000;3760000;3133000;976920;864000;752000;;;;;
Bob Thornton;;;;;;;;;;;;;;;;;;;;;;;;;;335000;335000
Boban Marjanovic;7000000;1200000;;;;;;;;;;;;;;;;;;;;;;;;;
Bobby Brown;980431;;;;;;;736420;442114;;;;;;;;;;;;;;;;;;
Bobby Hurley;;;;;;;;;;;;;;;;;;;4030000;3552000;3068000;2584000;2100000;1616000;;;
Bobby Jackson;;;;;;;;;6487888;5670000;5259000;3375000;3150000;2925000;2700000;2475000;2250000;903360;799200;694920;;;;;;;
Bobby Jones;;;;;;;;;;687456;412718;;;;;;;;;;;;;;;;
Bobby Phills;;;;;;;;;;;;;;;;5220000;4640000;4060000;3480000;2900000;1808000;1658000;1458000;313000;250000;130000;
Bobby Portis;1453680;1391160;;;;;;;;;;;;;;;;;;;;;;;;;
Bobby Simmons;;;;;;594836;71951;10560000;10602667;9280000;8640000;8000000;825000;638679;512435;332817;;;;;;;;;;;
Bojan Bogdanovic;3573020;3425510;3278000;;;;;;;;;;;;;;;;;;;;;;;;
Boniface N'Dong;;;;;;;;;;;839209;398762;;;;;;;;;;;;;;;
Bonzi Wells;;;;;;;;;;2284200;2115000;8000000;7700000;7000000;6300000;2028239;1528440;1428720;1100000;;;;;;;;
Boris Diaw;7000000;7500000;7500000;4702500;4500000;9000000;9000000;9000000;9000000;9000000;1870501;1174200;1097640;1021080;;;;;;;;;;;;;
Bostjan Nachbar;;;;;;;;;;2500000;2500000;2500000;1493880;1396440;1224000;;;;;;;;;;;;
Bracey Wright;;;;;;;;;;;664209;398762;;;;;;;;;;;;;;;
Brad Daugherty;;;;;;;;;;;;;;;;;;;;;;4700000;3800000;3541000;2923000;2245000;1320000
Brad Davis;;;;;;;;;;;;;;;;;;;;;;;;;;600000;600000
Brad Lohaus;;;;;;;;;;;;;;;;;;;;;485000;485000;325000;958000;583000;1377000;1275000
Brad Miller;;;;;848000;4752000;4400000;12250000;11375000;10500000;9625000;8750000;7875000;7000000;4800000;4400000;4000000;385000;287500;;;;;;;;
Brad Sellers;;;;;;;;;;;;;;;;;;;;;;;;;700000;600000;
Bradley Beal;22116750;5694674;4505280;4319280;4133280;;;;;;;;;;;;;;;;;;;;;;
Brady Heslip;56500;;;;;;;;;;;;;;;;;;;;;;;;;;
Brandan Wright;5709880;5464000;5000000;5000000;992680;915852;3398072;2671440;2497320;2323080;;;;;;;;;;;;;;;;;
Branden Dawson;;525093;;;;;;;;;;;;;;;;;;;;;;;;;
Brandon Armstrong;;;;;;;;;;;;;;995650;930720;865800;;;;;;;;;;;
Brandon Bass;1551659;3000000;6950000;6450000;6000000;4250000;4000000;4000000;826269;770610;664209;398762;;;;;;;;;;;;;;;
Brandon Davies;;;336198;490180;;;;;;;;;;;;;;;;;;;;;;;
Brandon Hunter;;;;;;;;;;;;;620046;366931;;;;;;;;;;;;;
Brandon Jennings;5000000;8344497;8000000;7655503;3179493;2493720;2331120;2168520;;;;;;;;;;;;;;;;;;;
Brandon Knight;12606250;13500000;3749602;2947800;2755560;2563320;;;;;;;;;;;;;;;;;;;;;
Brandon Paul;155000;;;;;;;;;;;;;;;;;;;;;;;;;;
Brandon Roy;;;14399332;17779458;5100000;16032144;13520500;3910816;3084240;2883120;2681880;;;;;;;;;;;;;;;;
Brandon Rush;3500000;1270964;1145685;4000000;4000000;2956658;2069049;1934160;1799160;;;;;;;;;;;;;;;;;;
Brandon Wallace;;;;;;;;;;130819;;;;;;;;;;;;;;;;;
Brandon Williams;;;;;;;;;;;;;;;;;;35176;287500;;;;;;;;
Brendan Haywood;;;2000000;2000000;2050000;7624500;6900000;6000000;5500000;5000000;4500000;4000000;1735305;1125360;1051920;978600;;;;;;;;;;;
Brent Barry;;;;;;;;2062800;1910000;5544370;5117880;4691390;4264900;5400000;5040000;4680000;4320000;3960000;3600000;1082520;958000;833000;;;;;
Brent Price;;;;;;;;;;;;;;;4048000;3680000;2880000;2944000;2240000;1920000;1600000;250000;328750;283000;283000;;
Brent Scott;;;;;;;;;;;;;;;;;;385000;;;247500;;;;;;
Brett Robisch;;;;;;;;;;;;;;;;;;20000;;;;;;;;;
Brett Szabo;;;;;;;;;;;;;;;;;;;;;220000;;;;;;
Brevin Knight;;;;;;;;;2000000;1600000;4400000;4600000;932546;5000000;5000000;4500000;4250000;1234080;1092000;949320;;;;;;;
Brian Cardinal;;;;;;1352181;1352181;6750000;6300000;5850000;5400000;5393300;4903000;663679;587435;465850;316969;;;;;;;;;;
Brian Chase;;;;;;;;;;;412718;;;;;;;;;;;;;;;;
Brian Cook;;;;;;1223166;1146337;3500000;3500000;3500000;1817141;1038960;971160;903360;;;;;;;;;;;;;
Brian Davis;;;;;;;;;;;;;;;;;;;;;;;;150000;;;
Brian Evans;;;;;;;;;;;;;;;;;;;686780;607545;551000;;;;;;
Brian Grant;;;;;;;;;;;1938870;14336220;13233434;12130648;11027862;9925076;8900000;7680862;6000000;5000000;1293000;1050000;808000;;;;
Brian Howard;;;;;;;;;;;;;;;;;;;;;;;;;200000;;
Brian Oliver;;;;;;;;;;;;;;;;;;;;;;;150000;456000;456000;456000;455000
Brian Quinnett;;;;;;;;;;;;;;;;;;;;;;;;;;450000;360000
Brian Roberts;1050961;2854940;2732000;788872;473604;;;;;;;;;;;;;;;;;;;;;;
Brian Scalabrine;;;;;;1352181;1229255;3413793;3206897;3000000;2793103;2586207;900000;800000;512435;332817;;;;;;;;;;;
Brian Shaw;;;;;;;;;;;;;;;1030000;963415;2250000;1100000;3400000;3750000;4000000;4250000;692900;1513000;1413000;1313000;1212000
Brian Skinner;;;;;;65446;270436;1306455;1262275;1108718;5400000;4950000;4500000;1500000;637435;1483461;901800;843000;653500;;;;;;;;
Briante Weber;327989;31071;;;;;;;;;;;;;;;;;;;;;;;;;
Britton Johnsen;;;;;;;;;;;;;45369;44748;;;;;;;;;;;;;
Brook Lopez;21165675;19689000;15719000;14693906;13668750;3076983;2413320;2225880;2098560;;;;;;;;;;;;;;;;;;
Brooks Thompson;;;;;;;;;;;;;;;;;;;;;214300;825000;650000;;;;
Bruce Bowen;;;;;;;;2000000;4000000;4125000;3750000;3375000;3000000;3650000;3550000;715850;733000;510000;507000;422500;;;;;;;
Bruno Caboclo;1589640;1524000;1458360;;;;;;;;;;;;;;;;;;;;;;;;
Bruno Sundov;;;;;;;;;;;;;870046;751159;637435;565850;498500;385000;287500;;;;;;;;
Bryant Reeves;;;;;;;;;;;;;;;12999998;11555554;10110000;8666666;7222000;1915680;1695000;1474000;;;;;
