
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
138,Corey White,NOR,24,cb/rcb/ss,15,9,2,2,0,2,6,1,0,1,0,0,1.0,53,50,3,1,2,
139,Aaron Williams,BUF,24,,15,14,1,26,0,26,5,0,1,0,0,0,,75,50,25,2,0,
140,Perrish Cox,SFO,27,LCB/rcb,15,14,5,12,0,10,16,0,1,2,0,0,,53,49,4,0,0,
141,Louis Delmas,MIA,27,S,13,12,1,81,1,81,3,0,0,2,0,0,1.0,60,49,11,2,1,
142,Leon Hall,CIN,30,RCB,15,15,1,-3,0,-3,8,,,,,,,69,49,20,2,1,
143,Robert McClain,ATL,26,cb,16,6,2,5,0,5,5,,,,,,1.0,59,49,10,2,1,
144,Jerraud Powers,ARI,27,cb/DB,16,11,3,19,0,12,10,1,0,0,0,0,1.0,54,49,5,3,4,
145,Darius Slay,DET,23,CB/lcb,16,16,2,42,0,40,17,,,,,,,62,49,13,1,0,
146,Calais Campbell,ARI,28,DE,14,14,1,23,0,23,3,1,0,0,0,0,7.0,62,48,14,16,11,
147,Fletcher Cox,PHI,24,DE,16,16,,,,,,1,0,3,21,1,4.0,61,48,13,8,7,
148,Brandon Flowers,SDG,28,LCB,14,14,3,44,0,27,10,0,1,0,0,0,,52,48,4,1,1,
149,Brent Grimes,MIA,31,CB,16,16,5,80,1,32,12,1,0,0,0,0,,58,48,10,1,0,
150,Micah Hyde,GNB,24,cb/fs,16,12,2,9,0,9,7,0,1,1,0,0,1.0,62,48,14,2,1,
151,Kareem Jackson,HOU,26,cb/LCB,13,13,3,97,0,65,9,,,,,,,57,48,9,4,1,
152,Von Miller,DEN,25,LB,16,16,0,0,0,0,2,1,0,1,2,0,14.0,66,48,18,16,27,
153,Patrick Peterson,ARI,24,LCB,16,16,3,30,1,30,7,,,,,,1.0,55,48,7,0,1,
154,Jimmy Wilson,MIA,28,cb/lb/S,14,13,1,31,0,31,2,,,,,,,59,48,11,0,1,
155,Blidi Wreh-Wilson,TEN,25,CB,11,11,1,34,0,34,10,,,,,,,57,48,9,0,0,
156,Joplo Bartu,ATL,24,LB,16,14,,,,,,0,0,2,0,0,1.0,83,47,36,2,1,
157,Connor Barwin,PHI,28,LB,16,16,0,0,0,0,5,2,0,0,0,0,14.5,64,47,17,15,21,
158,Tarell Brown,OAK,29,RCB,14,14,0,0,0,0,4,,,,,,,55,47,8,0,0,
159,Karlos Dansby,CLE,33,MLB,12,12,1,0,0,0,2,,,,,,3.0,93,47,46,10,3,
160,Tamba Hali,KAN,31,lb/ROLB,16,16,,,,,,3,0,1,0,0,6.0,59,47,12,7,11,
161,Christian Kirksey,CLE,22,LB,16,8,0,0,0,0,2,1,0,0,0,0,2.0,81,47,34,5,4,
162,Paul Posluszny,JAX,30,mlb,7,7,0,0,0,0,1,0,0,1,10,0,2.0,69,47,22,2,3,
163,Kavell Conner,SDG,27,lb,16,7,0,0,0,0,1,1,0,0,0,0,1.0,70,46,24,2,0,
164,Antonio Cromartie,ARI,30,RCB,16,16,3,65,0,40,10,0,0,1,14,1,,52,46,6,3,0,
165,Sean Smith,KAN,27,RCB,16,16,1,34,0,34,16,,,,,,,49,46,3,0,0,
166,Ndamukong Suh,DET,27,DT,16,16,0,0,0,0,3,,,,,,8.5,54,46,8,21,20,
167,Sam Barrington,GNB,24,lb/mlb,14,7,0,0,0,0,1,,,,,,1.0,66,45,21,3,4,
168,Darius Butler,IND,28,cb/fs/lcb/rcb,14,4,0,0,0,0,7,3,0,1,7,0,,51,45,6,1,1,
169,Donald Butler,SDG,26,LB,14,13,0,0,0,0,2,0,0,3,0,0,1.0,73,45,28,5,1,
