,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
204,Marcus Cooper,KAN,23,cb/lcb,16,6,3,32,0,20,19,1,0,1,0,1,,46,42,4,0,0,
205,Chandler Jones,NWE,23,DE/lb,16,16,,,,,,1,0,1,0,1,11.5,82,42,40,14,23,
206,Rob Ninkovich,NWE,29,DE/lb,16,16,0,0,0,0,1,2,0,2,3,0,8.0,91,42,49,10,16,
207,Sheldon Richardson,NYJ,23,dt/T,16,15,0,0,0,0,1,1,0,0,0,0,3.5,77,42,35,12,8,
208,Kyle Williams,BUF,30,DT,16,16,0,0,0,0,1,1,0,1,0,0,10.5,68,42,26,14,22,
209,Alan Ball,JAX,28,RCB,15,15,2,8,0,8,14,,,,,,,47,41,6,0,0,
210,Chris Cook,MIN,26,RCB,12,11,0,0,0,0,2,,,,,,,47,41,6,1,0,
211,Carlos Dunlap,CIN,24,DE,16,15,0,0,0,0,5,4,0,1,42,0,7.5,62,41,21,8,26,
212,Joe Mays,HOU,28,MLB,14,13,0,0,0,0,3,,,,,,1.0,66,41,25,6,4,1
213,Quintin Mikell,CAR,33,SS,14,12,0,0,0,0,6,2,0,1,0,0,3.0,59,41,18,2,2,
214,Xavier Rhodes,MIN,23,cb/lcb/rcb,13,6,0,0,0,0,10,1,0,0,0,0,,48,41,7,1,0,
215,Justin Tuck,NYG,30,DE,16,15,1,-2,0,-2,3,2,0,0,0,0,11.0,63,41,22,15,23,
216,David Amerson,WAS,22,CB,16,8,2,45,1,45,10,1,0,0,0,0,,48,40,8,1,1,
217,Greg Hardy,CAR,25,DE,16,13,0,0,0,0,1,1,0,0,0,0,15.0,65,40,25,17,29,
218,Justin Houston,KAN,24,LOLB,11,11,0,0,0,0,4,1,0,3,7,0,11.0,44,40,4,11,15,
219,Patrick Peterson,ARI,23,LCB,16,16,3,59,0,43,13,0,3,2,0,0,,42,40,2,0,0,
220,Marcus Sherels,MIN,26,lcb/rcb,16,3,1,0,0,0,6,0,3,2,0,0,,46,40,6,1,0,
221,Pat Sims,OAK,28,dt/NT,16,16,,,,,,,,,,,2.0,53,40,13,8,6,
222,Vince Williams,PIT,24,lb/LILB,15,11,,,,,,,,,,,,53,40,13,4,0,
223,Antonio Allen,NYJ,25,S,16,9,1,23,1,23,7,,,,,,1.0,60,39,21,2,1,
224,Alfonzo Dennard,NWE,24,RCB,13,9,1,0,0,0,8,,,,,,,45,39,6,0,0,
225,Tamba Hali,KAN,30,ROLB,15,15,1,10,1,10,1,5,0,2,11,1,11.0,46,39,7,12,15,
226,Mike Neal,GNB,26,LOLB,16,10,1,5,0,5,1,1,0,0,0,0,5.0,50,39,11,7,8,
227,Carlos Rogers,SFO,32,LCB,16,16,2,14,0,11,8,,,,,,,47,39,8,0,0,
228,Jacquian Williams,NYG,25,lb/mlb,16,8,0,0,0,0,8,0,0,2,5,0,,58,39,19,5,1,
229,Robert Blanton,MIN,24,db,16,3,,,,,,,,,,,,62,38,24,0,0,
230,Michael Brockers,STL,23,RDT,16,16,,,,,,1,0,0,0,0,5.5,46,38,8,7,10,
231,Jurrell Casey,TEN,24,de/DT,15,14,0,0,0,0,2,1,0,1,0,0,10.5,55,38,17,11,13,
