year,name,salary,team
2004,Adimchinobi Echemandu,"$149,000  ",cleveland-browns
2004,Terrence McGee,"$407,500  ",buffalo-bills
2004,Tim Anderson,"$407,333  ",buffalo-bills
2004,Antonio Smith,"$73,950  ",arizona-cardinals
2004,Antonio Smith,"$45,333  ",arizona-cardinals
2004,Scott Kooistra,"$318,666  ",cincinnati-bengals
2004,Kevin Walter,"$305,000  ",cincinnati-bengals
2004,Tony Romo,"$310,000  ",dallas-cowboys
2004,Nathan Jones,"$243,833  ",dallas-cowboys
2004,Junior Seau,"$6,500,000  ",miami-dolphins
2004,Antoine Winfield,"$12,400,000  ",minnesota-vikings
2004,Vonnie Holliday,"$2,337,500  ",kansas-city-chiefs
2004,Ryan Sims,"$2,209,404  ",kansas-city-chiefs
2004,Byron Leftwich,"$2,103,666  ",jacksonville-jaguars
2004,John Henderson,"$2,046,000  ",jacksonville-jaguars
2004,Dwight Freeney,"$1,671,714  ",indianapolis-colts
2004,Reggie Wayne,"$1,520,000  ",indianapolis-colts
2004,Charlie Anderson,"$246,666  ",houston-texans
2004,B.J. Symons,"$143,019  ",houston-texans
2004,Javon Walker,"$1,150,000  ",green-bay-packers
2004,Nick Barnett,"$1,107,000  ",green-bay-packers
2004,Nick Harris,"$753,000  ",detroit-lions
2004,Marcus Bell,"$628,000  ",detroit-lions
2004,Bradlee Van Pelt,"$230,000  ",denver-broncos
2004,Leon Joe,"$96,500  ",chicago-bears
2004,Claude Harriott,"$38,500  ",chicago-bears
2004,Dyshod Carter,"$89,705  ",cleveland-browns
2004,Nick Eason,"$81,176  ",cleveland-browns
2004,Mario Haggan,"$305,000  ",buffalo-bills
2004,Dylan McFarland,"$244,150  ",buffalo-bills
2004,Antonio Smith,"$40,588  ",arizona-cardinals
2004,Mike Banks,"$12,334  ",arizona-cardinals
2004,Casey Bramlet,"$241,667  ",cincinnati-bengals
2004,Quincy Wilson,"$230,000  ",cincinnati-bengals
2004,Patrick Crayton,"$243,769  ",dallas-cowboys
2004,Jacques Reeves,"$241,166  ",dallas-cowboys
2004,Vernon Carey,"$2,480,000  ",miami-dolphins
2004,David Boston,"$1,846,500  ",miami-dolphins
2004,Randy Moss,"$8,559,523  ",minnesota-vikings
2004,Matt Birk,"$4,617,339  ",minnesota-vikings
2004,Brian Waters,"$1,767,500  ",kansas-city-chiefs
2004,Sylvester Morris,"$1,660,713  ",kansas-city-chiefs
2004,Marcus Stroud,"$1,912,107  ",jacksonville-jaguars
2004,Mike Peterson,"$1,803,333  ",jacksonville-jaguars
2004,Dallas Clark,"$1,050,857  ",indianapolis-colts
2004,Brandon Stokley,"$861,333  ",indianapolis-colts
2004,Sloan Thomas,"$73,950  ",houston-texans
2004,Raheem Orr,"$13,333  ",houston-texans
2004,Ahmad Carroll,"$975,000  ",green-bay-packers
2004,David Martin,"$628,000  ",green-bay-packers
2004,Andre' Goodman,"$514,538  ",detroit-lions
2004,Cory Redding,"$486,166  ",detroit-lions
2004,Matt Mauck,"$221,850  ",denver-broncos
2004,Bradlee Van Pelt,"$147,900  ",denver-broncos
2004,Alfonso Marshall,"$11,625  ",chicago-bears
2004,Alfonso Marshall,"$4,350  ",chicago-bears
2004,Chris Clemons,"$73,950  ",cleveland-browns
2004,Nick Eason,"$73,950  ",cleveland-browns
2004,Tim Euhus,"$242,166  ",buffalo-bills
2004,Jabari Greer,"$232,500  ",buffalo-bills
2004,Romby Bryant,"$3,000  ",arizona-cardinals
2004,Terrance Copper,"$233,333  ",dallas-cowboys
2004,Mat McBriar,"$230,000  ",dallas-cowboys
2004,Sammy Knight,"$1,700,000  ",miami-dolphins
2004,Olindo Mare,"$1,160,000  ",miami-dolphins
2004,Chris Hovan,"$2,609,000  ",minnesota-vikings
2004,Bryant McKinnie,"$2,403,333  ",minnesota-vikings
2004,Todd Collins,"$1,065,000  ",kansas-city-chiefs
2004,Larry Johnson,"$1,037,857  ",kansas-city-chiefs
2004,Brad Meester,"$1,800,000  ",jacksonville-jaguars
2004,Reggie Williams,"$1,709,333  ",jacksonville-jaguars
2004,Dominic Rhodes,"$628,000  ",indianapolis-colts
2004,Justin Snow,"$597,500  ",indianapolis-colts
2004,Sloan Thomas,"$13,250  ",houston-texans
2004,Tim Couch,"$625,000  ",green-bay-packers
2004,Kenny Peterson,"$470,000  ",green-bay-packers
2004,Don Muhlbach,"$108,235  ",detroit-lions
2004,Brandon Miree,"$143,021  ",denver-broncos
2004,Steve Beuerlein,"$125,000  ",denver-broncos
2004,Corey McIntyre,"$73,950  ",cleveland-browns
2004,Josh Harris,"$54,117  ",cleveland-browns
2004,Jon Dorenbos,"$161,500  ",buffalo-bills
2004,George Wilson,"$147,900  ",buffalo-bills
2004,Patrick Crayton,"$73,950  ",dallas-cowboys
2004,Lousaka Polite,"$73,950  ",dallas-cowboys
2004,Sammy Morris,"$635,000  ",miami-dolphins
2004,Sage Rosenfels,"$628,000  ",miami-dolphins
2004,Corey Chavous,"$2,325,000  ",minnesota-vikings
2004,Kevin Williams,"$1,543,094  ",minnesota-vikings
2004,Scott Fujita,"$780,000  ",kansas-city-chiefs
2004,Monty Beisel,"$628,000  ",kansas-city-chiefs
2004,Joe Horn,"$3,575,000  ",new-orleans-saints
2004,Deon Grant,"$1,583,333  ",jacksonville-jaguars
2004,R. Jay Soward,"$813,000  ",jacksonville-jaguars
2004,Tom Brady,"$5,058,750  ",new-england-patriots
2004,Troy Walters,"$585,000  ",indianapolis-colts
2004,Jeff George,"$583,333  ",indianapolis-colts
2004,Paris Lenon,"$380,000  ",green-bay-packers
2004,James Lee,"$344,250  ",green-bay-packers
2004,Shannon Sharpe,"$114,285  ",denver-broncos
2004,Nick Eason,"$100,833  ",denver-broncos
2004,Jonathan Smith,"$121,764  ",buffalo-bills
2004,Jason Peters,"$108,235  ",buffalo-bills
2004,Lousaka Polite,"$13,529  ",dallas-cowboys
2004,Patrick Crayton,"$12,583  ",dallas-cowboys
2004,Randy McMichael,"$473,125  ",miami-dolphins
2004,Wade Smith,"$458,125  ",miami-dolphins
2004,Daunte Culpepper,"$1,182,857  ",minnesota-vikings
