Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991
Kenny Vaccaro;5.676.000;2.601.079;2.570.376;2.141.980;1.713.584;;;;;;;;;;;;;;;;;;;;;;
Kenny Wiggins;846.250;600.000;480.000;29.118;142.941;;;;;;;;;;;;;;;;;;;;;;
Kenrick Ellis;;;378.529;797.500;707.500;617.500;487.500;;;;;;;;;;;;;;;;;;;;
Kent Perkins;54.706;;;;;;;;;;;;;;;;;;;;;;;;;;
Kenton Keith;;;;;;;;;;;286.333;;;;;;;;;;;;;;;;
Kentrell Brice;446.962;450.666;;;;;;;;;;;;;;;;;;;;;;;;;
Kentrell Brothers;598.170;508.170;;;;;;;;;;;;;;;;;;;;;;;;;
Kentwan Balmer;;;;;;700.000;600.000;583.000;1.311.250;1.113.000;;;;;;;;;;;;;;;;;
Kenyan Drake;800.315;655.315;;;;;;;;;;;;;;;;;;;;;;;;;
Kenyon Coleman;;;;;620.000;2.245.000;1.155.000;;;;;790.000;755.000;420.000;340.000;265.000;;;;;;;;;;;
Kerry Collins;;;;;;;2.750.000;7.500.000;6.500.000;2.875.000;2.375.000;2.000.000;3.413.666;1.950.000;5.950.000;6.380.000;3.760.000;2.210.000;;1.153.000;;1.790.000;1.632.000;;;;
Kerry Hyder;540.000;450.000;25.588;;;;;;;;;;;;;;;;;;;;;;;;
Kerry Meier;;;;;;529.251;414.251;264.251;;;;;;;;;;;;;;;;;;;
Kerry Rhodes;;;;;;5.000.000;3.925.000;5.030.000;5.752.666;2.291.666;488.000;413.000;333.000;;;;;;;;;;;;;;
Kerry Taylor;;;;;190.588;390.000;;;;;;;;;;;;;;;;;;;;;
Kerry Wynn;1.797.000;602.500;512.500;422.500;;;;;;;;;;;;;;;;;;;;;;;
Kerwynn Williams;690.000;423.529;150.000;98.823;;;;;;;;;;;;;;;;;;;;;;;
Keshawn Martin;;;621.176;673.140;583.140;493.140;;;;;;;;;;;;;;;;;;;;;
Kevin Anderson;;333.000;;;;;;;;;;;;;;;;;;;;;;;;;
Kevin Barnes;;;;;;;720.625;590.625;505.625;;;;;;;;;;;;;;;;;;
Kevin Boothe;;;;1.725.000;605.000;1.787.500;1.287.500;1.176.000;535.000;445.000;360.000;300.250;;;;;;;;;;;;;;;
Kevin Boss;;;;;;1.333.333;3.750.000;1.393.340;503.340;413.340;328.340;;;;;;;;;;;;;;;;
Kevin Bowen;350.333;335.333;;;;;;;;;;;;;;;;;;;;;;;;;
Kevin Brock;;;;436.764;;;375.000;;;;;;;;;;;;;;;;;;;;
Kevin Burnett;;;;;1.857.500;5.300.000;2.000.000;2.900.000;2.600.000;1.088.832;805.625;720.625;610.000;;;;;;;;;;;;;;
Kevin Byard;842.831;674.265;;;;;;;;;;;;;;;;;;;;;;;;;
Kevin Cone;;;;;480.000;390.000;375.000;;;;;;;;;;;;;;;;;;;;
Kevin Dodd;1.489.160;1.191.328;;;;;;;;;;;;;;;;;;;;;;;;;
Kevin Dorsey;;;;241.412;302.212;;;;;;;;;;;;;;;;;;;;;;
Kevin Dyson;;;;;;;;;;;;;;;1.000.000;1.320.000;1.406.000;1.302.000;;1.000.000;;;;;;;
Kevin Elliott;;;;;303.000;390.000;;;;;;;;;;;;;;;;;;;;;
Kevin Ellison;;;;;;;;;335.293;;;;;;;;;;;;;;;;;;
Kevin Everett;;;;;;;;;;;585.000;500.000;380.000;;;;;;;;;;;;;;
Kevin Haslam;;;;;;465.000;278.833;230.833;;;;;;;;;;;;;;;;;;;
Kevin Hogan;540.000;317.640;;;;;;;;;;;;;;;;;;;;;;;;;
Kevin Houser;;;;;;;;855.000;245.000;780.000;770.000;635.000;590.000;560.000;475.000;434.500;307.500;202.500;;;;;;;;;
Kevin Huber;3.170.000;3.020.000;2.770.000;2.320.000;2.720.000;1.308.750;573.750;443.750;358.750;;;;;;;;;;;;;;;;;;
Kevin Hughes;;;;318.000;;3.334;164.062;;;;;;;;;;;;;;;;;;;;
Kevin Johnson;2.740.749;2.283.957;1.827.166;;;;;;;;;;;;;;;;;;;;;;;;
Kevin Jones;;;;;;;;;1.750.000;762.500;1.491.250;1.187.500;996.250;845.000;;;;;;;;;;;;;
Kevin King;1.259.902;;;;;;;;;;;;;;;;;;;;;;;;;;
Kevin Kolb;;;;;2.500.000;10.500.000;4.000.000;7.230.625;1.625.625;1.535.625;1.378.500;;;;;;;;;;;;;;;;
Kevin Kowalski;;;;;;466.667;376.667;;;;;;;;;;;;;;;;;;;;
Kevin Malast;;;;;;465.000;375.000;;;;;;;;;;;;;;;;;;;;
Kevin Matthews;;;;570.000;111.176;540.000;456.250;326.250;;;;;;;;;;;;;;;;;;;
Kevin McDermott;910.000;775.000;585.000;233.294;406.666;;;;;;;;;;;;;;;;;;;;;;
Kevin Minter;4.250.000;1.396.903;1.197.354;997.795;798.236;;;;;;;;;;;;;;;;;;;;;;
Kevin Norwood;;;510.000;525.027;;;;;;;;;;;;;;;;;;;;;;;
Kevin O'Connell;;;;;;;525.000;;575.125;485.125;;;;;;;;;;;;;;;;;
Kevin Ogletree;;;;368.823;546.765;640.000;480.000;;;;;;;;;;;;;;;;;;;;
Kevin Pamphile;1.846.625;649.625;559.625;469.625;;;;;;;;;;;;;;;;;;;;;;;
Kevin Payne;;;;;;;;1.101.000;497.500;407.500;322.500;;;;;;;;;;;;;;;;
Kevin Peterson;164.118;;;;;;;;;;;;;;;;;;;;;;;;;;
Kevin Pierre-Louis;690.000;696.413;606.413;399.413;;;;;;;;;;;;;;;;;;;;;;;
Kevin Reddick;;;172.058;87.352;406.666;;;;;;;;;;;;;;;;;;;;;;
Kevin Robinson;;;;;;;;;;269.173;;;;;;;;;;;;;;;;;
Kevin Rutland;;;;;;232.500;376.666;;;;;;;;;;;;;;;;;;;;
Kevin Sampson;;;;;;;;;;;;434.500;314.500;239.500;;;;;;;;;;;;;
Kevin Smith;;;179.117;;;605.000;600.000;686.630;601.630;511.630;;;;;;;;;;;;;;;;;
Kevin Thomas;;;;;;;543.868;488.868;;;;;;;;;;;;;;;;;;;
Kevin Vickerson;;;;601.471;2.500.000;1.700.000;1.875.000;1.759.000;685.000;495.000;360.000;390.500;150.500;;;;;;;;;;;;;;
Kevin Walter;;;;;620.000;3.000.000;4.000.000;4.000.000;2.000.000;1.800.000;1.500.000;1.000.000;380.000;305.000;145.588;;;;;;;;;;;;
Kevin White;4.517.195;3.628.968;3.011.463;;;;;;;;;;;;;;;;;;;;;;;;
Kevin Williams;;;1.500.000;2.078.125;5.000.000;8.416.666;7.416.666;4.990.666;4.954.762;4.954.760;6.954.760;3.080.094;1.618.094;1.543.094;1.349.428;;;;;;;;;;;;
Kevin Zeitler;8.400.000;8.070.000;2.400.427;2.057.509;1.714.591;1.371.673;;;;;;;;;;;;;;;;;;;;;
Kevon Seymour;540.000;475.089;;;;;;;;;;;;;;;;;;;;;;;;;
Keyaron Fox;;;;;;825.000;810.000;990.000;810.000;445.000;915.701;574.299;412.500;337.500;;;;;;;;;;;;;
Keyshawn Johnson;;;;;;;;;;;;2.250.000;3.000.000;3.000.000;5.277.142;3.357.142;2.357.142;4.204.000;;2.391.333;;1.955.333;;;;;
Keyunta Dawson;;;;;391.765;700.000;;1.111.375;470.375;380.375;295.375;;;;;;;;;;;;;;;;
Khairi Fortt;;;;183.882;;;;;;;;;;;;;;;;;;;;;;;
Khaled Holmes;;;690.027;600.027;510.027;;;;;;;;;;;;;;;;;;;;;;
Khalfani Muhammad;27.353;;;;;;;;;;;;;;;;;;;;;;;;;;
Khalid Wooten;;;;74.117;47.647;;;;;;;;;;;;;;;;;;;;;;
Khalif Barnes;176.470;;1.750.000;1.850.000;915.000;2.000.000;2.000.000;1.226.000;1.200.000;826.428;722.000;637.000;517.000;;;;;;;;;;;;;;
Khalil Mack;5.942.682;5.093.727;4.244.773;3.395.818;;;;;;;;;;;;;;;;;;;;;;;
Khari Lee;615.000;;435.000;;;;;;;;;;;;;;;;;;;;;;;;
Khaseem Greene;;;;603.023;513.023;;;;;;;;;;;;;;;;;;;;;;
Kheeston Randall;;;;;;405.612;;;;;;;;;;;;;;;;;;;;;
Khiry Robinson;;158.823;459.863;495.333;405.333;;;;;;;;;;;;;;;;;;;;;;
Khyri Thornton;;525.000;338.411;443.813;;;;;;;;;;;;;;;;;;;;;;;
Kiko Alonso;2.862.500;991.418;795.946;977.364;781.891;;;;;;;;;;;;;;;;;;;;;;
Kimario McFadden;;;25.588;;;;;;;;;;;;;;;;;;;;;;;;
Kindal Moorehead;;;;;;;;;;655.000;650.000;721.600;420.333;345.333;265.333;;;;;;;;;;;;
King Dunlap;;5.143.750;4.125.000;2.425.000;1.825.000;1.200.000;566.792;406.792;321.792;306.792;;;;;;;;;;;;;;;;;
Kion Wilson;;;;;;;405.000;225.000;;;;;;;;;;;;;;;;;;;
Kirk Chambers;;;;;;;242.941;630.000;620.000;520.000;435.000;;305.000;255.000;;;;;;;;;;;;;
Kirk Cousins;23.943.600;19.953.000;778.172;688.172;598.172;508.172;;;;;;;;;;;;;;;;;;;;;
Kirk Morrison;;;;;;1.071.875;1.100.000;2.524.000;2.472.600;1.887.600;612.600;527.600;407.600;;;;;;;;;;;;;;
Knile Davis;;357.352;736.504;646.504;531.504;;;;;;;;;;;;;;;;;;;;;;
Knowshon Moreno;;;;3.000.000;3.288.800;2.443.800;2.588.800;6.253.800;1.752.000;;;;;;;;;;;;;;;;;;
Ko Simpson;;;;;;;;;1.000.000;561.250;476.250;391.250;;;;;;;;;;;;;;;
Koa Misi;3.551.125;3.120.500;4.438.000;2.328.000;1.764.905;1.093.000;1.747.500;787.500;;;;;;;;;;;;;;;;;;;
Kolby Listenbee;;441.932;;;;;;;;;;;;;;;;;;;;;;;;;
Kolby Smith;;;;;;;;;504.291;414.291;329.291;;;;;;;;;;;;;;;;
Kona Schwenke;;;318.000;;;;;;;;;;;;;;;;;;;;;;;;
Konrad Reuland;;;137.647;;417.529;390.000;;;;;;;;;;;;;;;;;;;;;
Kony Ealy;803.660;967.317;806.098;644.878;;;;;;;;;;;;;;;;;;;;;;;
Korey Hall;;;;;;930.000;980.000;578.612;483.612;393.612;308.612;;;;;;;;;;;;;;;;
Korey Lindsey;;;;;;;375.000;;;;;;;;;;;;;;;;;;;;
Korey Toomer;1.797.000;494.117;300.000;222.352;102.000;;;;;;;;;;;;;;;;;;;;;;
Kory Lichtensteiger;;2.628.125;4.300.000;3.300.000;1.550.000;1.260.000;600.000;470.000;385.000;416.312;;;;;;;;;;;;;;;;;
Kory Sheets;;;;525.000;;;;240.000;218.823;;;;;;;;;;;;;;;;;;
Kory Sperry;;;;;715.000;615.000;525.000;162.647;145.882;;;;;;;;;;;;;;;;;;
Kourtnei Brown;;;153.529;;;;;;;;;;;;;;;;;;;;;;;;
Kraig Urbik;;1.125.000;2.200.000;3.375.000;2.850.000;1.960.000;480.000;405.000;507.667;;;;;;;;;;;;;;;;;;
Kregg Lumpkin;;;;;;115.313;;;;;;;;;;;;;;;;;;;;;
Kris Adams;;;;;303.000;;;;;;;;;;;;;;;;;;;;;;
Kris Dielman;;;;;;;6.540.000;6.540.000;7.540.000;5.740.000;2.640.000;1.573.000;380.000;;;;;;;;;;;;;;
Kris Durham;;;;645.000;555.000;465.000;491.065;;;;;;;;;;;;;;;;;;;;
Krishawn Hogan;300.346;;;;;;;;;;;;;;;;;;;;;;;;;;
Kristjan Sokoli;;61.764;457.621;;;;;;;;;;;;;;;;;;;;;;;;
Kroy Biermann;;;1.925.000;4.083.334;3.433.333;2.133.333;1.243.687;513.687;428.687;338.687;;;;;;;;;;;;;;;;;
Kurt Campbell;;;;;;;;;;;;190.375;145.375;;;;;;;;;;;;;;
Kurt Coleman;3.650.000;2.600.000;1.340.625;570.000;1.110.842;500.842;415.842;330.842;;;;;;;;;;;;;;;;;;;
Kurt Warner;;;;;;;;;11.500.000;6.000.000;5.000.000;5.000.000;4.000.000;2.000.000;8.831.523;4.056.523;2.334.523;2.000.857;;;;;2.500;2.500;;;
Kurtis Drummond;381.176;526.666;257.548;;;;;;;;;;;;;;;;;;;;;;;;
Kwame Geathers;;;;;406.000;;;;;;;;;;;;;;;;;;;;;;
Kwame Harris;;;;;;;;;;1.403.333;2.615.936;1.306.976;1.198.015;909.251;950.127;;;;;;;;;;;;
K'Waun Williams;1.440.000;;510.000;420.000;;;;;;;;;;;;;;;;;;;;;;;
Kwon Alexander;734.580;644.580;429.041;;;;;;;;;;;;;;;;;;;;;;;;
Kyle Adams;;;;;163.235;466.668;376.668;;;;;;;;;;;;;;;;;;;;
Kyle Arrington;;1.566.666;1.466.666;3.625.000;2.625.000;2.150.000;725.000;445.000;394.117;;;;;;;;;;;;;;;;;;
Kyle Boller;;;;;;;1.250.000;1.000.000;1.500.000;3.250.000;2.802.500;2.586.250;2.422.500;1.258.750;1.845.000;;;;;;;;;;;;
Kyle Bosworth;;;;;;469.167;262.167;324.167;;;;;;;;;;;;;;;;;;;
Kyle Carter;82.059;;;;;;;;;;;;;;;;;;;;;;;;;;
Kyle Cook;;;;;3.340.000;3.340.000;2.475.000;470.000;385.000;295.000;;;;;;;;;;;;;;;;;
Kyle DeVan;;;;;;307.500;480.000;;;;;;;;;;;;;;;;;;;;
Kyle Emanuel;669.643;579.643;489.643;;;;;;;;;;;;;;;;;;;;;;;;
Kyle Fuller;3.082.228;2.641.910;2.201.591;1.761.273;;;;;;;;;;;;;;;;;;;;;;;
Kyle Hix;;;;;;393.000;378.000;;;;;;;;;;;;;;;;;;;;
Kyle Juszczyk;3.750.000;750.146;660.146;570.146;480.146;;;;;;;;;;;;;;;;;;;;;;
Kyle Kalis;109.412;;;;;;;;;;;;;;;;;;;;;;;;;;
Kyle Knox;;;;420.000;;;;;;;;;;;;;;;;;;;;;;;
Kyle Kosier;;;;;;;1.600.000;3.990.000;3.630.000;3.070.000;2.710.000;1.600.000;656.000;388.000;308.000;233.000;;;;;;;;;;;
Kyle Long;8.000.000;7.614.054;2.263.896;1.886.580;1.509.264;;;;;;;;;;;;;;;;;;;;;;
Kyle Love;962.500;625.882;745.000;85.882;37.059;790.000;452.500;322.500;;;;;;;;;;;;;;;;;;;
Kyle McCarthy;;;;;;540.000;;;;;;;;;;;;;;;;;;;;;
Kyle Miller;;;;;;243.750;;;;;;;;;;;;;;;;;;;;;
Kyle Moore;;;;;;615.000;450.000;523.996;508.996;;;;;;;;;;;;;;;;;;
Kyle Murphy;425.770;481.535;;;;;;;;;;;;;;;;;;;;;;;;;
Kyle Nelson;1.150.000;970.000;810.000;570.000;480.000;;;;;;;;;;;;;;;;;;;;;;
Kyle Orton;;;;4.000.000;1.967.500;1.900.000;8.879.000;2.612.000;1.095.000;2.214.500;549.500;464.500;344.500;;;;;;;;;;;;;;
Kyle Peko;190.588;26.470;;;;;;;;;;;;;;;;;;;;;;;;;
Kyle Rudolph;6.800.000;7.300.000;6.440.625;2.773.134;1.262.687;1.052.239;841.791;;;;;;;;;;;;;;;;;;;;
Kyle Sloter;437.647;;;;;;;;;;;;;;;;;;;;;;;;;;
Kyle Turley;;;;;;;;;;;720.000;585.000;;2.357.499;960.000;2.184.000;2.018.500;1.853.000;;1.622.000;;;;;;;
Kyle Van Noy;2.282.407;446.370;1.159.568;927.654;;;;;;;;;;;;;;;;;;;;;;;
Kyle Vanden Bosch;;;;;;4.611.250;3.477.500;4.937.500;6.507.500;5.667.500;4.827.500;3.987.500;455.000;908.750;832.500;756.250;680.000;;;;;;;;;;
Kyle Wilber;1.750.000;1.500.000;769.805;679.805;589.805;499.805;;;;;;;;;;;;;;;;;;;;;
Kyle Williams;8.300.000;6.250.000;6.950.000;6.250.000;5.805.000;5.950.000;3.950.000;2.250.000;2.793.250;2.498.250;408.250;323.250;;;;;;;;;;;;;;;
Kyle Wilson;;680.000;665.000;2.387.400;2.010.400;2.834.400;1.507.400;1.250.400;;;;;;;;;;;;;;;;;;;
Kyler Fackrell;748.512;623.512;;;;;;;;;;;;;;;;;;;;;;;;;
Kyshoen Jarrett;;;468.907;;;;;;;;;;;;;;;;;;;;;;;;
L.J. Fort;542.647;216.174;25.588;;;390.000;;;;;;;;;;;;;;;;;;;;;
L.J. McCray;;;418.294;422.000;;;;;;;;;;;;;;;;;;;;;;;
L.J. Smith;;;;;;;;;1.500.000;4.522.000;1.174.000;789.000;634.000;559.000;479.000;;;;;;;;;;;;
L.P. Ladouceur;1.220.000;1.170.000;1.120.000;1.005.000;985.000;950.000;810.000;795.000;780.000;680.000;435.000;350.000;202.941;;;;;;;;;;;;;;
LaAdrian Waddle;1.125.000;1.087.500;103.235;477.509;408.333;;;;;;;;;;;;;;;;;;;;;;
Lac Edwards;558.948;468.948;;;;;;;;;;;;;;;;;;;;;;;;;
LaDainian Tomlinson;;;;;;;1.325.000;1.900.500;6.908.333;7.850.000;7.100.000;7.350.000;8.100.000;6.700.000;3.000.000;2.250.000;2.000.000;;;;;;;;;;
Ladarius Green;;2.437.500;772.725;682.725;592.725;502.725;;;;;;;;;;;;;;;;;;;;;
LaDarius Gunter;578.816;526.666;436.666;;;;;;;;;;;;;;;;;;;;;;;;
La'el Collins;2.340.333;533.750;442.000;;;;;;;;;;;;;;;;;;;;;;;;
Lafayette Pitts;317.650;211.760;;;;;;;;;;;;;;;;;;;;;;;;;
LaJuan Ramsey;;;;;;;;;530.000;445.000;378.250;293.250;;;;;;;;;;;;;;;
Laken Tomlinson;1.212.296;1.943.237;1.554.589;;;;;;;;;;;;;;;;;;;;;;;;
Lamaar Thomas;;;;;47.647;;;;;;;;;;;;;;;;;;;;;;
Lamar Divens;;;;;;;600.000;395.000;;;;;;;;;;;;;;;;;;;
Lamar Holmes;;;;703.400;613.400;523.400;;;;;;;;;;;;;;;;;;;;;
Lamar Lathon;;;;;;;;;;;;;;;;;;;;2.040.235;;3.000.000;3.100.000;600.000;600.000;;600.000
Lamar Louis;;79.410;;;;;;;;;;;;;;;;;;;;;;;;;
Lamar Mady;;;;;357.353;;;;;;;;;;;;;;;;;;;;;;
Lamar Miller;6.500.000;5.500.000;1.663.500;691.500;601.500;511.500;;;;;;;;;;;;;;;;;;;;;
LaMarcus Joyner;1.600.512;1.371.867;1.143.223;914.578;;;;;;;;;;;;;;;;;;;;;;;
Lamarr Houston;180.882;6.990.000;6.990.000;5.040.000;1.078.750;988.750;868.750;773.750;;;;;;;;;;;;;;;;;;;
LaMarr Woodley;;;665.000;4.843.750;9.190.000;4.940.000;7.700.000;900.000;810.000;720.000;1.100.000;;;;;;;;;;;;;;;;
LaMichael James;;;;234.706;754.295;603.436;;;;;;;;;;;;;;;;;;;;;
Lamin Barrow;378.000;;510.000;467.790;;;;;;;;;;;;;;;;;;;;;;;
Lamont Warren;;;;;;;;;;;;;;;;675.000;489.500;;;;;;;;;;
Lance Ball;;;;;;540.000;450.000;357.800;;;;;;;;;;;;;;;;;;;
Lance Briggs;;;;6.500.000;7.416.670;4.666.666;4.566.667;7.361.667;6.766.667;5.471.667;7.206.000;894.100;552.500;477.500;397.500;;;;;;;;;;;;
Lance Dunbar;1.476.556;987.500;1.542.000;570.000;438.353;390.000;;;;;;;;;;;;;;;;;;;;;
Lance Kendricks;1.775.000;4.500.000;5.600.000;1.344.614;1.152.555;960.496;768.437;;;;;;;;;;;;;;;;;;;;
Lance Lenoir;27.353;;;;;;;;;;;;;;;;;;;;;;;;;;
Lance Long;;;;;;465.000;;;;;;;;;;;;;;;;;;;;;
Lance Louis;;;966.250;892.500;;1.270.495;490.495;405.495;320.495;;;;;;;;;;;;;;;;;;
Lance Mitchell;;;;;;;;;;;;;266.166;;;;;;;;;;;;;;
Lance Moore;;;665.000;1.177.500;4.568.750;2.293.750;2.600.000;1.759.000;1.545.000;520.000;435.000;275.000;230.000;;;;;;;;;;;;;;
Landon Cohen;;;;;518.823;;608.120;470.000;399.583;309.583;;;;;;;;;;;;;;;;;
Landon Collins;1.669.243;1.391.036;1.112.828;;;;;;;;;;;;;;;;;;;;;;;;
Landon Turner;;451.666;;;;;;;;;;;;;;;;;;;;;;;;;
Landry Jones;2.200.000;784.805;694.805;604.805;514.805;;;;;;;;;;;;;;;;;;;;;;
Lane Johnson;9.843.750;7.731.329;5.225.974;4.395.598;3.609.655;;;;;;;;;;;;;;;;;;;;;;
Lane Taylor;4.575.000;1.450.000;587.334;497.333;407.333;;;;;;;;;;;;;;;;;;;;;;
LaQuan Williams;;;;;;465.166;375.166;;;;;;;;;;;;;;;;;;;;
Laquon Treadwell;2.257.949;1.806.359;;;;;;;;;;;;;;;;;;;;;;;;;
Lardarius Webb;1.300.000;9.500.000;9.250.000;7.500.000;5.385.000;2.615.000;701.506;571.506;486.506;;;;;;;;;;;;;;;;;;
Laremy Tunsil;2.831.284;2.265.027;;;;;;;;;;;;;;;;;;;;;;;;;
LaRod Stephens-Howling;;;;;620.000;1.927.000;537.500;407.500;322.500;;;;;;;;;;;;;;;;;;
Laron Byrd;;363.000;;;305.166;392.166;;;;;;;;;;;;;;;;;;;;;
LaRon Landry;;;;4.750.000;5.750.000;2.625.000;7.804.333;6.797.833;5.794.333;2.645.833;2.163.333;;;;;;;;;;;;;;;;
LaRoy Reynolds;1.300.000;675.000;481.764;495.833;405.833;;;;;;;;;;;;;;;;;;;;;;
Larry Asante;;;1.542.000;293.471;;;405.000;320.000;;;;;;;;;;;;;;;;;;;
Larry Black;;;;;290.000;;;;;;;;;;;;;;;;;;;;;;
Larry Centers;;;;;;;;;;;;;;;125.000;1.025.000;;;;;;;;;;;
Larry Dean;;;;569.118;555.000;465.000;375.000;;;;;;;;;;;;;;;;;;;;
Larry Donnell;;1.671.000;585.000;495.000;405.000;;;;;;;;;;;;;;;;;;;;;;
Larry English;;;586.750;536.471;2.440.000;2.172.500;1.905.000;6.147.500;1.370.000;;;;;;;;;;;;;;;;;;
Larry Fitzgerald;15.850.000;15.850.000;10.850.000;8.600.000;10.250.000;20.500.000;16.250.000;10.400.000;11.256.000;7.356.000;5.836.000;5.573.500;2.561.000;2.300.000;;;;;;;;;;;;;
Larry Foote;;;;570.000;1.833.333;3.600.000;3.000.000;3.900.000;2.975.000;3.387.500;3.372.500;1.632.500;1.105.000;469.667;389.667;314.667;;;;;;;;;;;
Larry Grant;;;;;;1.260.000;600.000;470.000;;88.840;;;;;;;;;;;;;;;;;
Larry Hart;;;;;;;;368.200;;;;;;;;;;;;;;;;;;;
Larry Johnson;;;;;;;;1.000.000;460.000;5.759.131;3.306.190;1.288.857;1.150.857;1.037.857;924.857;;;;;;;;;;;;
Larry Ogunjobi;710.391;;;;;;;;;;;;;;;;;;;;;;;;;;
Larry Pinkard;191.471;;;;;;;;;;;;;;;;;;;;;;;;;;
Larry Turner;;;;;;;;;;;;425.000;305.000;238.916;;;;;;;;;;;;;
Larry Warford;3.800.000;1.845.250;849.250;714.250;579.250;;;;;;;;;;;;;;;;;;;;;;
Larry Webster;;26.470;;495.146;;;;;;;;;;;;;;;;;;;;;;;
Latavius Murray;2.956.250;701.550;611.550;446.550;314.550;;;;;;;;;;;;;;;;;;;;;;
LaTroy Lewis;136.765;;;;;;;;;;;;;;;;;;;;;;;;;;
Laurence Maroney;;;;;;;;776.470;1.767.500;1.360.312;1.437.500;1.150.000;;;;;;;;;;;;;;;
Laurent Duvernay-Tardif;2.723.575;633.575;543.075;445.075;;;;;;;;;;;;;;;;;;;;;;;
Laurent Robinson;;;;;;4.700.000;525.000;550.000;460.000;560.350;475.350;;;;;;;;;;;;;;;;
LaVar Arrington;;;;;;;;;;;;1.800.000;6.408.734;6.403.734;4.515.401;3.755.714;2.335.714;1.728.714;;;;;;;;;
Lavar Edwards;136.764;;172.058;;454.625;;;;;;;;;;;;;;;;;;;;;;
Lavelle Hawkins;;;;;546.765;1.466.667;705.687;575.687;490.687;400.687;;;;;;;;;;;;;;;;;
Laveranues Coles;;;;;;;;;7.500.000;6.000.000;5.000.000;7.000.000;2.000.000;2.392.142;2.382.142;525.000;448.000;343.000;;;;;;;;;
LaVon Brazill;;;;;385.572;408.513;;;;;;;;;;;;;;;;;;;;;
Lavonte David;6.000.000;10.000.000;6.104.642;946.836;789.030;631.224;;;;;;;;;;;;;;;;;;;;;
Lawrence Guy;2.600.000;1.250.000;1.050.000;469.411;338.823;252.352;269.475;;;;;;;;;;;;;;;;;;;;
Lawrence Jackson;;;;;;915.000;715.000;525.000;1.400.000;1.200.000;;;;;;;;;;;;;;;;;
Lawrence Okoye;;;;;289.000;;;;;;;;;;;;;;;;;;;;;;
Lawrence Sidbury;;;;67.058;620.000;726.225;591.225;506.225;421.225;;;;;;;;;;;;;;;;;;
Lawrence Thomas;437.647;358.645;;;;;;;;;;;;;;;;;;;;;;;;;
Lawrence Timmons;3.716.176;15.131.250;9.251.250;11.816.250;5.816.250;3.985.000;5.378.750;2.448.250;2.148.500;3.172.750;1.399.000;;;;;;;;;;;;;;;;
Lawrence Tynes;;;;;620.000;1.600.000;1.500.000;1.450.000;1.330.000;1.045.000;650.000;425.000;332.500;267.500;;;;;;;;;;;;;
Lawrence Vickers;;;;;;900.000;;1.759.000;559.000;469.000;384.000;299.000;;;;;;;;;;;;;;;
Lawrence Virgil;;;333.000;123.529;;;;;;;;;;;;;;;;;;;;;;;
Lawrence Wilson;;;;;;390.000;;;;;;;;;;;;;;;;;;;;;
Lazarius Levingston;;;;;;465.000;;;;;;;;;;;;;;;;;;;;;
Le Kevin Smith;;;;;;;;;535.000;462.750;377.750;292.750;;;;;;;;;;;;;;;
Lee Evans;;;;;;;3.275.000;8.883.333;5.820.000;10.862.242;2.143.750;1.762.500;1.531.250;1.600.000;;;;;;;;;;;;;
Lee Robinson;;;;;;;330.000;;;;;;;;;;;;;;;;;;;;
Lee Smith;1.500.000;2.750.000;3.350.000;688.401;583.934;479.467;375.000;;;;;;;;;;;;;;;;;;;;
Lee Ziemba;;;;;;;184.413;;;;;;;;;;;;;;;;;;;;
LeGarrette Blount;1.250.000;1.025.000;949.632;257.647;680.000;540.000;450.000;320.000;;;;;;;;;;;;;;;;;;;
Legedu Naanee;;;;;;;;585.250;495.250;405.250;320.250;;;;;;;;;;;;;;;;
Leger Douzable;397.936;600.000;1.200.000;1.000.000;555.000;700.000;600.000;470.000;387.666;297.666;;;;;;;;;;;;;;;;;
Lemuel Jeanpierre;;;378.529;;555.000;465.000;375.000;;;;;;;;;;;;;;;;;;;;
Lenard Tillery;348.833;;;;;;;;;;;;;;;;;;;;;;;;;;
Lendale White;;;;;;;640.000;541.764;960.000;870.000;685.000;1.100.000;;;;;;;;;;;;;;;
Lenzy Pipkins;466.666;;;;;;;;;;;;;;;;;;;;;;;;;;
Leodis McKelvin;;2.750.000;4.900.000;4.575.000;3.050.000;2.684.584;2.173.334;1.862.084;1.550.834;1.460.834;;;;;;;;;;;;;;;;;
Leon Hall;361.765;1.437.500;9.600.000;8.700.000;8.400.000;8.500.000;6.837.500;2.187.500;1.875.000;1.562.500;1.250.000;;;;;;;;;;;;;;;;
Leon Joe;;;;;;;;;;;510.000;425.000;305.000;230.000;;;;;;;;;;;;;
Leon McFadden;182.352;347.823;;262.059;572.813;;;;;;;;;;;;;;;;;;;;;;
Leon McQuay III;82.059;;;;;;;;;;;;;;;;;;;;;;;;;;
Leon Orr;;;102.352;;;;;;;;;;;;;;;;;;;;;;;;
Leon Searcy;;;;;;;;;;;;;;;;;;;;;;;1.125.000;1.025.000;975.000;;
Leon Washington;;;;635.000;247.059;3.375.000;2.375.000;1.759.000;642.312;552.312;467.312;382.312;;;;;;;;;;;;;;;
Leon Williams;;;;;;131.250;;545.000;;557.500;472.500;387.500;;;;;;;;;;;;;;;
