Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
156,Terry Glenn,DAL,30,wr,6,6,38,24,63.2%,400,16.7,2,48,4.0,66.7,0
157,Clarence Moore,BAL,22,wr,15,6,58,24,41.4%,293,12.2,4,52,1.6,19.5,0
158,Shaun Alexander,SEA,27,RB,16,16,38,23,60.5%,170,7.4,4,24,1.4,10.6,5
159,Brian Finneran,ATL,28,wr,12,1,33,23,69.7%,258,11.2,2,26,1.9,21.5,1
160,Itula Mili,SEA,31,te,15,4,36,23,63.9%,240,10.4,1,20,1.5,16.0,0
161,Derrius Thompson,MIA,27,wr,16,3,48,23,47.9%,359,15.6,4,36,1.4,22.4,0
162,Dwayne Carswell,DEN,32,TE,15,14,36,22,61.1%,198,9.0,1,20,1.5,13.2,0
163,Antonio Chatman,GNB,25,wr,16,2,45,22,48.9%,246,11.2,1,21,1.4,15.4,3
164,Justin Griffith,ATL,24,FB,12,11,31,22,71.0%,220,10.0,1,62,1.8,18.3,0
165,Larry Johnson,KAN,25,rb,10,3,29,22,75.9%,278,12.6,2,40,2.2,27.8,0
166,Willis McGahee,BUF,23,RB,16,11,36,22,61.1%,169,7.7,0,16,1.4,10.6,4
167,Freddie Mitchell,PHI,26,fb/wr,16,9,45,22,48.9%,377,17.1,2,60,1.4,23.6,0
168,Sammy Morris,MIA,27,RB,13,8,28,22,78.6%,124,5.6,0,24,1.7,9.5,1
169,Antowain Smith,TEN,32,rb,13,4,26,22,84.6%,169,7.7,0,31,1.7,13.0,2
170,Michael Bennett,MIN,26,rb,11,7,23,21,91.3%,207,9.9,1,38,1.9,18.8,1
171,Brad Hoover,CAR,28,fb/rb,14,9,32,21,65.6%,161,7.7,2,34,1.5,11.5,0
172,Terry Jackson,SFO,28,,16,0,30,21,70.0%,139,6.6,0,22,1.3,8.7,3
173,Matt Schobel,CIN,26,te,16,1,33,21,63.6%,201,9.6,4,76,1.3,12.6,1
174,Mack Strong,SEA,33,FB,16,13,31,21,67.7%,99,4.7,0,13,1.3,6.2,2
175,Moe Williams,MIN,30,rb,14,1,27,21,77.8%,233,11.1,1,28,1.5,16.6,0
176,Eddie Berlin,TEN,26,wr,16,1,41,20,48.8%,278,13.9,1,31,1.3,17.4,0
177,Chris Brown,TEN,23,RB,11,11,33,20,60.6%,147,7.4,0,21,1.8,13.4,6
178,Terry Jones,BAL,25,TE,15,11,29,20,69.0%,152,7.6,1,19,1.3,10.1,0
179,Lee Suggs,CLE,24,rb,10,3,36,20,55.6%,178,8.9,1,59,2.0,17.8,6
180,Obafemi Ayanbadejo,ARI,29,fb,16,5,25,19,76.0%,171,9.0,1,21,1.2,10.7,1
181,Kelly Campbell,MIN,24,wr,16,3,32,19,59.4%,364,19.2,1,61,1.2,22.8,1
182,Troy Fleming,TEN,24,,16,0,28,19,67.9%,164,8.6,2,37,1.2,10.3,0
183,Priest Holmes,KAN,31,RB,8,8,25,19,76.0%,187,9.8,1,52,2.4,23.4,4
184,Steven Jackson,STL,21,fb/rb,14,3,24,19,79.2%,189,9.9,0,28,1.4,13.5,1
185,Tony Richardson,KAN,33,FB,16,16,26,19,73.1%,118,6.2,0,22,1.2,7.4,0
186,Ernest Wilford,JAX,25,wr,15,3,35,19,54.3%,271,14.3,2,46,1.3,18.1,0
187,Chris Baker,NYJ,25,,16,0,29,18,62.1%,182,10.1,4,23,1.1,11.4,1
188,Reche Caldwell,SDG,25,wr,6,6,29,18,62.1%,310,17.2,3,58,3.0,51.7,1
189,Verron Haynes,PIT,25,,13,0,23,18,78.3%,142,7.9,2,26,1.4,10.9,0
190,Josh Scobey,ARI,25,,12,0,21,18,85.7%,191,10.6,0,42,1.5,15.9,1
191,Reggie Swinton,DET,29,,13,1,31,18,58.1%,213,11.8,1,28,1.4,16.4,1
192,Karl Williams,ARI,33,wr,15,2,30,18,60.0%,197,10.9,0,33,1.2,13.1,4
193,Troy Brown,NWE,33,,12,0,29,17,58.6%,184,10.8,1,22,1.4,15.3,1
194,Mark Campbell,BUF,29,TE,12,12,30,17,56.7%,203,11.9,5,27,1.4,16.9,1
195,Jason Dunn,KAN,31,,16,0,25,17,68.0%,120,7.1,3,17,1.1,7.5,0
196,Julius Jones,DAL,23,rb,8,7,26,17,65.4%,109,6.4,0,37,2.1,13.6,3
197,Greg Lewis,PHI,24,wr,16,3,37,17,45.9%,183,10.8,0,25,1.1,11.4,0
198,Billy Miller,HOU,27,TE,16,8,33,17,51.5%,178,10.5,1,27,1.1,11.1,1
199,Daimon Shelton,BUF,32,FB,16,12,24,17,70.8%,114,6.7,0,24,1.1,7.1,0
200,Anthony Thomas,CHI,27,rb,12,2,23,17,73.9%,132,7.8,0,30,1.4,11.0,1
201,James Thrash,WAS,29,wr,16,3,21,17,81.0%,203,11.9,0,31,1.1,12.7,0
202,Zack Crockett,OAK,32,fb/rb,16,9,20,16,80.0%,87,5.4,0,11,1.0,5.4,0
203,Andre' Davis,CLE,25,wr,7,7,20,16,80.0%,416,26.0,2,99,2.3,59.4,0
204,Christian Fauria,NWE,33,TE,16,10,20,16,80.0%,195,12.2,2,25,1.0,12.2,0
205,Maurice Hicks,SFO,26,rb,9,2,25,16,64.0%,154,9.6,0,19,1.8,17.1,3
206,Taylor Jacobs,WAS,23,rb/wr,15,4,27,16,59.3%,178,11.1,0,45,1.1,11.9,0
207,Jeremi Johnson,CIN,24,fb,16,6,18,16,88.9%,53,3.3,1,9,1.0,3.3,1
208,Josh Reed,BUF,24,wr,12,1,36,16,44.4%,153,9.6,0,20,1.3,12.8,0
209,Bernard Berrian,CHI,24,wr,16,1,44,15,34.1%,225,15.0,2,49,0.9,14.1,0
210,Ladell Betts,WAS,25,rb,16,1,25,15,60.0%,108,7.2,0,20,0.9,6.8,0
211,Corey Dillon,NWE,30,RB,15,14,21,15,71.4%,103,6.9,1,20,1.0,6.9,5
212,Jim Finn,NYG,28,FB,16,9,18,15,83.3%,112,7.5,0,15,0.9,7.0,0
213,Bryan Gilmore,MIA,26,wr,16,2,34,15,44.1%,206,13.7,1,37,0.9,12.9,1
214,Chris Horn,KAN,27,,14,0,27,15,55.6%,178,11.9,1,30,1.1,12.7,0
